"Church Name","District Name",Mainkey,Churchcode,"Church Mail To",ReportStatus,Validate
"Alliance Bible Church","Alliance South Central",309581,4848141,office@abcbaytown.org,Completed,Y
"Alliance Bible Church of Tahoma","Alliance Northwest District C&MA",306418,3053400,abctahoma@gmail.com,Completed,Y
"Alliance Bible Fellowship","The Alliance South",307564,3637085,btensi@abfboone.org,Completed,N
"Alliance Chapel","Great Lakes District C&MA",302101,1039572,Pastoralliancechapel@rrbiznet.com,Completed,Y
"Alliance Chapel","The Alliance Southeast",308582,4212120,alliancechapel@gmail.com,Completed,Y
"Alliance Chicago","The Alliance Midwest District",782343,1817035,scottm@familyempower.org,"Not Started",N
"Alliance Church","Eastern PA District C&MA",301442,0942340,office@lancastercma.org,Completed,Y
"Alliance Church","Alliance New England",303942,2125350,church@greenfieldcma.net,Completed,Y
"Alliance Church","The Alliance Southeast",308642,4212204,Ft.PierceAllianceChurch@gmail.com,Completed,Y
"Alliance Church","The Alliance Southeast",308534,4212024,bellegladealliance@gmail.com,Completed,Y
"Alliance Church","The Alliance Southeast",309022,4212756,office@zaccma.org,Completed,Y
"Alliance Church","Eastern PA District C&MA",301379,0942240,office@alliancechurch.com,Completed,Y
"Alliance Church - Appleton","Western Great Lakes District C&MA",310514,5555084,info@appletonalliance.org,Completed,Y
"Alliance Church of Leesburg","The Alliance Southeast",308734,4212372,leesburgcma@outlook.com,Completed,Y
"Alliance Church of Merced","Hmong District C&MA",312202,7306637,thaivang08@yahoo.com,Completed,Y
"Alliance Church of Ontario","Vietnamese District C&MA",740853,8906020,,"Not Started",N
"Alliance Church of Sebring","The Alliance Southeast",308713,4212342,acosps@embarqmail.com,Completed,Y
"Alliance Church of the Valley","Western Great Lakes District C&MA",310638,5555546,office@stcroixalliance.com,Completed,Y
"Alliance Community Church","Alliance Northwest District C&MA",306245,3041775,travelingbc@gmail.com,Completed,Y
"Alliance Community Church","Hmong District C&MA",722747,7313013,cawjfajyimcharand@gmail.com,Completed,Y
"Alliance Community Church","The Alliance Midwest District",303507,1818176,alliancechurchfw@gmail.com,Completed,Y
"Alliance Community Church","North Central District C&MA",304902,2727105,alliancechurchduluth@gmail.com,Completed,Y
"Alliance Community Church","Alliance New England",325761,2125580,alliancechurch@live.com,Completed,Y
"Alliance Community Church","The Alliance South",307719,3637661,jkkamuabo@gmail.com,Completed,N
"Alliance Community Fellowship","Central District C&MA",300605,0354168,acfsec@gmail.com,Completed,Y
"Alliance Community Fellowship","Alliance New England",304149,2150451,office@acfrutland.org,Completed,Y
"Alliance Family Fellowship","Mid-Atlantic District C&MA",302806,1510130,af3r@juno.com,Completed,Y
"Alliance Fellowship","Rocky Mountain District C&MA",306968,3330120,office@alliancefellowship.org,Completed,Y
"Alliance Fellowship Church","Korean District C&MA",312609,7817400,jasonk@afcc.org,Completed,N
"Alliance Gospel Chapel","Rocky Mountain District C&MA",307171,3338800,gjknopp@juno.com,Completed,Y
"Alliance Gospel Tabernacle","Western PA District C&MA",310950,5742175,coalportcmachurch@gmail.com,Completed,Y
"Alliance Missionary Church","North Central District C&MA",305039,2727360,alliance@mlalliance.org,Completed,Y
"Alliance Primitive Ministries Inc","The Alliance Southeast",314638,4212147,jeudino@yahoo.com,"Not Started",N
"Alliance Tabernacle","Metropolitan District C&MA",302524,1236260,clarendonroadchurch@gmail.com,Completed,Y
"Almaden Neighborhood Church","Central Pacific District C&MA",300869,0606506,jwong@almadenchurch.org,Completed,Y
"Altoona C&MA Church","Western PA District C&MA",310800,5742030,altoonaalliancechurch@gmail.com,Completed,Y
"Amanuel Church","Northeastern District C&MA",778780,2436017,kesawst@yahoo.com,"Not Started",N
"Amanuel Ethiopian Church","MidAmerica District C&MA",325591,5420370,dyaregal@yahoo.com,Completed,Y
"Ambridge C&MA Church","Western PA District C&MA",310803,5742035,ambridgecma@yahoo.com,Completed,Y
"Amherst Alliance Church","Northeastern District C&MA",304212,2436040,pastorrick@amherstalliancechurch.com,Completed,Y
"Amour du Christ","Central District C&MA",754605,0339015,,Completed,Y
"Anchor Church","MidAmerica District C&MA",785437,5408025,denveranchor@gmail.com,Completed,Y
"Anchor Church","Great Lakes District C&MA",783024,1039013,,Completed,Y
"Anchor Church of the C&MA","Alliance Northwest District C&MA",762119,3053005,john@anchortacoma.org,Completed,Y
"Anchor Lincoln","Alliance Northwest District C&MA",779822,3053024,,"Not Started",N
"Anderson Alliance Church","The Alliance Midwest District",303473,1818033,connect@andersoncma.com,Completed,Y
"Andover Alliance Church","Northeastern District C&MA",304223,2436050,andoveralliance@hotmail.com,Completed,Y
"Anthem Church","Metropolitan District C&MA",780407,1234059,hoon@anthemnj.com,Completed,Y
"Antioch Alliance Church","Central District C&MA",300349,0339408,info@antiochalliance.com,Completed,Y
"Antioquia de ACM","Spanish Eastern District C&MA",313110,8736380,bxantioquia@aim.com,Completed,N
"Arabic Christian Church","The Alliance Southeast",315144,4212730,gergesyouqeem@hotmail.com,Completed,Y
"Arabic Christian Church","Eastern PA District C&MA",316595,0942317,mjmoussa@aol.com,Completed,Y
"Arabic Christian Church of Fort Lauderdale","The Alliance Southeast",753986,4212019,gergesyouqueem@hotmail.com,Completed,Y
"Arabic Christian Church of Pittsburgh","Western PA District C&MA",776979,5742007,,Completed,Y
"Arabic Church in Sacramento","Central Pacific District C&MA",300807,0606370,rawabdeh@msn.com,Completed,Y
"Arabic Evangelical Alliance","Great Lakes District C&MA",301981,1026647,jacobmkakish@gmail.com,Completed,Y
"Arbor Heights Community Church","Alliance Northwest District C&MA",306493,3053620,info@arborheights.org,Completed,Y
"Arbuckle C&MA Church","Western PA District C&MA",310808,5742040,kenlynda3@verizon.net,Completed,Y
"Areumdaun Church","Korean District C&MA",312526,7806056,joshepchoi123@gmail.com,Completed,N
"Arise Christian Fellowship Church","The Alliance Midwest District",766442,1818012,office.ariselafayette@gmail.com,Completed,Y
"Arise Church","Western Great Lakes District C&MA",310643,5555588,office@arise-church.org,Completed,Y
"Arise Church","Alliance Northwest District C&MA",306148,3041403,hello@alliancebible.church,Completed,Y
"Arlington Community Church","Mid-Atlantic District C&MA",303000,1551171,john@arlingtonalliance.org,Completed,Y
"Assemblee Evangelique Haitienne","The Alliance Midwest District",303274,1817551,aehchicagoheights@gmail.com,"Not Started",N
"Athens Community Church","Central District C&MA",314191,0339103,athenscommunitychurch@gmail.com,Completed,Y
"Atlanta Onnuri Church","Korean District C&MA",321420,7813100,happyaoc@gmail.com,Completed,Y
"Atlanta Road Alliance Church","Mid-Atlantic District C&MA",302826,1510600,aracadmin@atlantaroadcma.org,Completed,Y
"Atlantic Community Alliance Church","Metropolitan District C&MA",302178,1234010,philipyangus@gmail.com,Completed,Y
"Auburn Alliance Church","The Alliance Midwest District",303475,1818049,office@auburnalliancechurch.org,Completed,Y
"Auburn Alliance Church","Northeastern District C&MA",304243,2436080,helen@auburnalliance.com,Completed,Y
"Authentic Alliance Church","Korean District C&MA",791550,7851216,joykimusa@yahoo.com,Completed,Y
"Awaken Church of the C&MA","Metropolitan District C&MA",718013,1236025,dstradling@gmail.com,Completed,Y
"Awakening Alliance Church","Western PA District C&MA",311444,5742635,awakeningalliance@gmail.com,Completed,Y
"Bakerstown C&MA Church","Western PA District C&MA",310813,5742045,,Completed,Y
"Bald Eagle C&MA Church","Western PA District C&MA",311531,5742710,,Completed,Y
"Bannerville C&MA Church","Eastern PA District C&MA",301283,0942050,ljm137@yahoo.com,Completed,Y
"Battle Lake Alliance Church","North Central District C&MA",304829,2727015,blac@arvig.net,Completed,Y
"Bay Community Alliance Church","Alliance New England",303931,2125251,main@baycommunity.org,Completed,Y
"Beartown Road Alliance Church","Northeastern District C&MA",304295,2436160,office@beartownroad.org,Completed,Y
"Beaver C&MA Church","Western PA District C&MA",310821,5742055,rolandmgrayiii@yahoo.com,Completed,Y
"Beaverdale C&MA Church","Western PA District C&MA",310828,5742060,beaverdalecma@juno.com,Completed,Y
"Beccaria C&MA Church","Western PA District C&MA",310842,5742070,beccariachurch@gmail.com,Completed,Y
"Bedford Alliance Church","Great Lakes District C&MA",301979,1026635,robert.hinz@bedfordalliance.church,Completed,Y
"Bedford C&MA Church","Western PA District C&MA",310846,5742075,bedfordcma@comcast.net,Completed,Y
"Bedford Community Church","Metropolitan District C&MA",302496,1236180,office@bedfordcommunitychurch.org,Completed,Y
"Beefhide First Alliance Church","Ohio Valley District C&MA",305696,2821610,estepmitch@gmail.com,Completed,N
"Belgrade Alliance Church","Rocky Mountain District C&MA",306942,3330058,office@belgradealliance.com,Completed,Y
"Belle Vernon Gospel Alliance Church","Western PA District C&MA",310928,5742147,Finances@gospelalliancechurch.org,Completed,Y
"Bellevue Alliance Church","Central District C&MA",300227,0339110,office@bac.church,Completed,Y
"Bellevue Community Church","MidAmerica District C&MA",310415,5431553,colemanfc@outlook.com,Completed,Y
"Berea Evangelical Alliance Church","The Alliance Southeast",314321,4212400,galexandre2016@hotmail.com,Completed,Y
"Berean Alliance Church","The Alliance Southeast",314311,4212145,adnerjoseph56@yahoo.com,Completed,Y
"Berlin Alliance Church","Western PA District C&MA",310851,5742080,berlinal@verizon.net,Completed,Y
"Berryessa Alliance Church","Vietnamese District C&MA",313258,8906680,han@htsantaclara.org,Completed,Y
"Bethany Alliance Church","MidAmerica District C&MA",310051,5419235,office@bethanyalliance.com,Completed,Y
"Bethany Alliance Church","Alliance New England",303763,2109400,dahennig@gmail.com,Completed,Y
"Bethany Alliance Church","Western Great Lakes District C&MA",310563,5555275,bcma@tds.net,Completed,Y
"Bethany Cambodian Church","South Pacific Alliance",311771,3906741,jermsum@hotmail.com,Completed,Y
"Bethany Evangelical Alliance Church","Korean District C&MA",709852,7806008,sung_ryu2001@yahoo.com,Completed,N
"Bethel Alliance Church of C&MA","Alliance New England",303817,2123175,bethelcma@yahoo.com,Completed,Y
"Bethel Cambodian Evangelical Church","South Pacific Alliance",311789,3906787,jkaysarn@gmail.com,Completed,Y
"Bethel Church","MidAmerica District C&MA",310032,5419094,office@bethelcma.org,Completed,Y
"Bethel Community Church","Ohio Valley District C&MA",305859,2839396,wmhaley12@gmail.com,Completed,N
"Bethel Eritrean Alliance Church","The Alliance South",314812,3613079,,Completed,N
"Bethel Eritrean Church","MidAmerica District C&MA",758331,5408020,asfaha24@msn.com,Completed,Y
"Bethel Ethiopian Evangelical Church","Metropolitan District C&MA",302581,1236475,mesfin05@gmail.com,Completed,Y
"Bethel Evangelical Alliance Church","Alliance New England",303761,2109351,piervil87@yahoo.com,Completed,Y
"Bethel Grace Church","South Pacific Alliance",783416,3906071,,Completed,Y
"Bethel Haitian Alliance Church","Metropolitan District C&MA",302597,1236539,peopletravels@aol.com,Completed,Y
"Bethel International Ethiopian Evangelical Church","The Alliance South",741690,3613010,mindayeg@bellsouth.net,Completed,N
"Bethel Korean Church","South Pacific Alliance",308158,3906228,bethel@bkc.org,Completed,Y
"Bethesda Alliance Church","The Alliance Southeast",314359,4212175,pastbj@yahoo.com,Completed,Y
"Bethesda Tabernacle Christian Community Church","The Alliance Southeast",724555,4212054,bethesdatabernaclecma@yahoo.com,Completed,Y
"Bethlehem Alliance Church","Central District C&MA",300642,0354700,hreinek@comcast.net,Completed,Y
"Bhutanese-Nepali New Life Church of the C&MA","MidAmerica District C&MA",714905,5431022,phurbatamang93@gmail.com,Completed,Y
"Bible Covenant Community Church","The Alliance South",307892,3645850,pastor@biblecovenantcma.org,"Not Started",N
"Bible Fellowship Community Church","North Central District C&MA",305507,2746323,tsfost@tnics.com,Completed,Y
"Big Valley Alliance Church","Eastern PA District C&MA",301271,0942025,walkandmake@gmail.com,Completed,Y
"Birmingham International Church of the C&MA","The Alliance South",309147,3601111,1380bic@att.net,Completed,N
"Blairsville C&MA Church","Western PA District C&MA",310860,5742085,office@cmablairsville.com,Completed,Y
"Blessing Church","Korean District C&MA",314593,7834276,Agape2004_4@hotmail.com,Completed,Y
"Bloomingdale Alliance Church","The Alliance Midwest District",303149,1817050,info@bloomingdalechurch.org,Completed,Y
"Bloomingdale Alliance Church","The Alliance South",307428,3613540,bloomingdalealli@bellsouth.net,Completed,N
"Bloomington Chinese Christian Church","The Alliance Midwest District",760667,1818016,contact@bloomingtonccc.org,Completed,Y
"Boonville Alliance Church","Northeastern District C&MA",304269,2436130,pastor@boonvillecma.org,Completed,Y
"Boston Vietnamese Alliance Church","Vietnamese District C&MA",313366,8925200,cuongquocnguyen211@gmail.com,Completed,N
"Bradford C&MA Church","Western PA District C&MA",310864,5742090,bradfordcma@verizon.net,Completed,Y
"Branded Cowboy Church","North Central District C&MA",731210,2727018,brandedcowboychurch@gmail.com,Completed,Y
"Braznell C&MA Church","Western PA District C&MA",310868,5742095,,Completed,Y
"Brent Alliance Chapel","Western PA District C&MA",311016,5742235,,Completed,Y
"Brentwood Neighborhood Church","Central Pacific District C&MA",300679,0606022,office@bnc.church,Completed,Y
"Bridge Community Church","Great Lakes District C&MA",301982,1026648,office@bridgecommunitychurch.com,Completed,Y
"Bridgton Alliance Church","Alliance New England",303822,2123200,info@bridgtonalliancechurch.org,Completed,Y
"Brockway C&MA Church","Western PA District C&MA",310874,5742100,tph1114@brockwaytv.com,Completed,Y
"Brooklyn Alliance Church of the C&MA","Metropolitan District C&MA",302522,1236259,brooklynalliancechurch@gmail.com,Completed,Y
"Brookview Community Church","Alliance Northwest District C&MA",314203,3053445,info@brookviewchurch.com,Completed,Y
"Brookville C&MA Church","Western PA District C&MA",310882,5742103,office@brookvillealliancechurch.com,Completed,Y
"Brunswick Community Church","MidAmerica District C&MA",310339,5431053,Kringle@frontiernet.net,Completed,Y
"Buckhannon Alliance Church","Central District C&MA",300594,0354100,office@wvbac.org,Completed,Y
"Building on the Rock Community Church","Metropolitan District C&MA",302390,1234800,buildingontherockchurch@gmail.com,Completed,Y
"Built Together In Christ","Korean District C&MA",749777,7834021,sung125cho@gmail.com,Completed,Y
"Bunong Bible Alliance Church","The Alliance South",753472,3637028,mpyaidieu@yahoo.com,Completed,N
"Bunong Christian Alliance Church","The Alliance South",777672,3637010,mphiapbujri@yahoo.com,Completed,N
"Butler Community Alliance Church","Western PA District C&MA",310900,5742120,margiem@butlercac.org,Completed,Y
"C&MA Church","MidAmerica District C&MA",310045,5419188,toddhart1971@yahoo.com,Completed,Y
"C&MA Church","Great Lakes District C&MA",302076,1039044,bryanalliance@cityofbryan.net,Completed,Y
"C&MA Church","Ohio Valley District C&MA",305651,2821110,,Completed,N
"C&MA Church","Ohio Valley District C&MA",305878,2839440,padre419@yahoo.com,Completed,N
"C&MA Church","Great Lakes District C&MA",301990,1026729,wyandottealliancechurch@hotmail.com,Completed,Y
"C&MA Church","Ohio Valley District C&MA",305851,2839374,info@cmagreenville.org,Completed,N
"C&MA Church","Eastern PA District C&MA",301625,0942630,Shamokincma@ptd.net,Completed,Y
"C&MA Church","Great Lakes District C&MA",301929,1026459,office@monroealliance.org,Completed,Y
"C&MA Church","Great Lakes District C&MA",302071,1039022,office@bgalliance.org,Completed,Y
"C&MA Church","Ohio Valley District C&MA",305642,2821100,,"Not Started",N
"C&MA Church","Eastern PA District C&MA",301666,0942675,cmchurchofstroudsburg@yahoo.com,Completed,Y
"C&MA Ethiopian Church","Mid-Atlantic District C&MA",780410,1551015,tarikueabebe@gmail.com,"Not Started",N
"C&MA of Harrison Valley","Eastern PA District C&MA",301424,0942310,,Completed,Y
"C&MA of Watsontown","Eastern PA District C&MA",301691,0942700,info@wacfamily.us,Completed,Y
"Cable Road Alliance Church","Ohio Valley District C&MA",305885,2839462,office@cableroadalliance.com,Completed,N
"Calvary Alliance Chapel","Eastern PA District C&MA",301311,0942110,calvarycma@gmail.com,Completed,Y
"Calvary Alliance Church","The Alliance South",748956,3613016,info@calvaryalliancechurch.com,Completed,N
"Calvary Alliance Church","Rocky Mountain District C&MA",307167,3338400,calvary@srt.com,Completed,Y
"Calvary Alliance Church","Rocky Mountain District C&MA",306906,3316818,office@calvaryalliance.com,Completed,Y
"Calvary Alliance Church","Ohio Valley District C&MA",305784,2839132,d.robinette@calvaryalliancechurch.org,Completed,N
"Calvary Alliance Church","Hmong District C&MA",312351,7327682,paulgv09@gmail.com,Completed,Y
"Calvary Alliance of DC","Mid-Atlantic District C&MA",302949,1524790,cacpastor@cmacac.org,Completed,Y
"Calvary Bible Alliance Church","The Alliance Southeast",314307,4212142,calvarybiblealliancechurch@gmail.com,Completed,Y
"Calvary Cambodian Evangelical Church","Central Pacific District C&MA",311810,0606855,,Completed,Y
"Calvary Church","Korean District C&MA",312718,7840100,6402song@sbcglobal.net,Completed,N
"Calvary Church of C&MA","Alliance New England",303732,2109150,calvaryalliancechurch2019@gmail.com,Completed,Y
"Calvary Hmong Alliance Church","Hmong District C&MA",312421,7345450,mthao.dhac@juno.com,Completed,Y
"Calvary Missionary Bible Church","The Alliance South",307305,3613109,revevers@yahoo.com,"Not Started",N
"Calvary World Mission Church","Korean District C&MA",312671,7836200,,Completed,N
"Calvary's Place","Ohio Valley District C&MA",782432,2839035,,"Not Started",N
"Cambodian Alliance Church","Alliance New England",311828,2125322,,"Not Started",N
"Cambodian Alliance Church","Northeastern District C&MA",311841,2436263,sakhornpich@gmail.com,Completed,Y
"Cambodian Alliance Church","South Pacific Alliance",311777,3906745,manh.meak_ee@yahoo.com,Completed,Y
"Cambodian Christian Fellowship CEC","Hmong District C&MA",748469,7312103,saneylee@gmail.com,Completed,Y
"Cambodian Evangelical Church","Central Pacific District C&MA",311761,0606497,Davithrin@gmail.com,Completed,Y
"Cambodian Evangelical Church","Central Pacific District C&MA",311743,0606500,bill_sing@yahoo.com,Completed,Y
"Cambodian Evangelical Church","Central Pacific District C&MA",311808,0606850,bhvelim@gmail.com,Completed,Y
"Cambodian Evangelical Church","Mid-Atlantic District C&MA",311870,1551100,HB-Phnom@msn.com,Completed,Y
"Cambodian Evangelical Church","South Pacific Alliance",311794,3906805,limchheangsan@yahoo.com,Completed,Y
"Cambodian Evangelical Church","South Pacific Alliance",311745,3906134,santhonynou@hotmail.com,Completed,Y
"Cambodian Evangelical Church","Alliance New England",311819,2125320,,Completed,Y
"Cambodian Evangelical Church","Northeastern District C&MA",322019,2436262,,"Not Started",N
"Cambodian Evangelical Church","Central Pacific District C&MA",311804,0606837,jbsrcec@gmail.com,Completed,Y
"Cambodian Evangelical Church","Ohio Valley District C&MA",311850,2839800,chhom2567@gmail.com,Completed,N
"Cambridge Springs C&MA Church","Western PA District C&MA",310910,5742130,office.cscma@gmail.com,Completed,Y
"Campbellsport Alliance Church","Western Great Lakes District C&MA",310533,5555136,djbirr1013@hotmail.com,Completed,Y
"Canaan Community Church","The Alliance Midwest District",314848,1818076,connect@canaancommunity.org,Completed,Y
"Canal Fulton Christian Fellowship","Central District C&MA",300237,0339148,cfcfchurch@gmail.com,Completed,Y
"Canby Alliance Church","Alliance Northwest District C&MA",306107,3041155,canbyac@canby.com,Completed,Y
"Canyon Crossing Church","Rocky Mountain District C&MA",306915,3316875,officecanyoncrossing@gmail.com,Completed,Y
"Canyon View Church","Rocky Mountain District C&MA",307028,3330400,office@canyonviewchurch.org,Completed,Y
"Cape Cod Bible Alliance Church","Alliance New England",303957,2125500,ccbac@comcast.org,Completed,Y
